artist_id,keyword
1jFVu6Z7wmwywivOeBTSIV,addiction
1jFVu6Z7wmwywivOeBTSIV,regret
1jFVu6Z7wmwywivOeBTSIV,self-destructive behavior
1jFVu6Z7wmwywivOeBTSIV,quarterlife crisis
1jFVu6Z7wmwywivOeBTSIV,shaving head
1jFVu6Z7wmwywivOeBTSIV,control
1jFVu6Z7wmwywivOeBTSIV,lost
1jFVu6Z7wmwywivOeBTSIV,social events
1jFVu6Z7wmwywivOeBTSIV,unconditional love
1jFVu6Z7wmwywivOeBTSIV,death
1jFVu6Z7wmwywivOeBTSIV,lover's departure
1jFVu6Z7wmwywivOeBTSIV,relationship
1jFVu6Z7wmwywivOeBTSIV,parents
1jFVu6Z7wmwywivOeBTSIV,mystery
1jFVu6Z7wmwywivOeBTSIV,change
1jFVu6Z7wmwywivOeBTSIV,sadness
1jFVu6Z7wmwywivOeBTSIV,pain
1jFVu6Z7wmwywivOeBTSIV,desperation
1jFVu6Z7wmwywivOeBTSIV,existence of God
1jFVu6Z7wmwywivOeBTSIV,uncertainty
1jFVu6Z7wmwywivOeBTSIV,future
1jFVu6Z7wmwywivOeBTSIV,introspection
1jFVu6Z7wmwywivOeBTSIV,solitude
1jFVu6Z7wmwywivOeBTSIV,fear
1jFVu6Z7wmwywivOeBTSIV,insecurity
1jFVu6Z7wmwywivOeBTSIV,traumatic events
1jFVu6Z7wmwywivOeBTSIV,living boldly
1FdUgjmEeGCpmAxXatjiEG,healthy love
1FdUgjmEeGCpmAxXatjiEG,past wounds
1FdUgjmEeGCpmAxXatjiEG,mistakes
1FdUgjmEeGCpmAxXatjiEG,relationships
1FdUgjmEeGCpmAxXatjiEG,ideal man
1FdUgjmEeGCpmAxXatjiEG,positive sentiment
1FdUgjmEeGCpmAxXatjiEG,deep meaning
1FdUgjmEeGCpmAxXatjiEG,longing
1FdUgjmEeGCpmAxXatjiEG,unconditional love
1FdUgjmEeGCpmAxXatjiEG,anonymity
1FdUgjmEeGCpmAxXatjiEG,self-expression
1FdUgjmEeGCpmAxXatjiEG,transformative power
1FdUgjmEeGCpmAxXatjiEG,change
1FdUgjmEeGCpmAxXatjiEG,amazement
1FdUgjmEeGCpmAxXatjiEG,steadiness
1FdUgjmEeGCpmAxXatjiEG,moving on
1FdUgjmEeGCpmAxXatjiEG,deference
1FdUgjmEeGCpmAxXatjiEG,independence
1FdUgjmEeGCpmAxXatjiEG,mistreatment
2HysMkOtaumKooHYAlE7wd,ex
2HysMkOtaumKooHYAlE7wd,breakup
2HysMkOtaumKooHYAlE7wd,lyrics
2HysMkOtaumKooHYAlE7wd,feelings
2HysMkOtaumKooHYAlE7wd,disappointment
2HysMkOtaumKooHYAlE7wd,hurt
2HysMkOtaumKooHYAlE7wd,emotions
2HysMkOtaumKooHYAlE7wd,dance
2HysMkOtaumKooHYAlE7wd,Rock Bottom
2HysMkOtaumKooHYAlE7wd,rut
2HysMkOtaumKooHYAlE7wd,struggle
2HysMkOtaumKooHYAlE7wd,change
2HysMkOtaumKooHYAlE7wd,music industry
2HysMkOtaumKooHYAlE7wd,pressure
2HysMkOtaumKooHYAlE7wd,succeed
2HysMkOtaumKooHYAlE7wd,mental health
2HysMkOtaumKooHYAlE7wd,physical health
2HysMkOtaumKooHYAlE7wd,betrayal
2HysMkOtaumKooHYAlE7wd,anger
2HysMkOtaumKooHYAlE7wd,frustration
2HysMkOtaumKooHYAlE7wd,loneliness
2HysMkOtaumKooHYAlE7wd,sadness
2HysMkOtaumKooHYAlE7wd,escape
2HysMkOtaumKooHYAlE7wd,past love
2HysMkOtaumKooHYAlE7wd,internal struggle
4OSArit7O2Jaj4mgf3YN7A,desire
4OSArit7O2Jaj4mgf3YN7A,together
4OSArit7O2Jaj4mgf3YN7A,lyrics
4OSArit7O2Jaj4mgf3YN7A,wishes
4OSArit7O2Jaj4mgf3YN7A,life
4OSArit7O2Jaj4mgf3YN7A,love
4OSArit7O2Jaj4mgf3YN7A,reconcile
4OSArit7O2Jaj4mgf3YN7A,Teeth
4OSArit7O2Jaj4mgf3YN7A,dark
4OSArit7O2Jaj4mgf3YN7A,troubling
4OSArit7O2Jaj4mgf3YN7A,unease
4OSArit7O2Jaj4mgf3YN7A,hope
4OSArit7O2Jaj4mgf3YN7A,company
4OSArit7O2Jaj4mgf3YN7A,affectionate
4OSArit7O2Jaj4mgf3YN7A,Fade Into You
4OSArit7O2Jaj4mgf3YN7A,disconnected
4OSArit7O2Jaj4mgf3YN7A,searching
4OSArit7O2Jaj4mgf3YN7A,belonging
4OSArit7O2Jaj4mgf3YN7A,emotions
4OSArit7O2Jaj4mgf3YN7A,relationship
4OSArit7O2Jaj4mgf3YN7A,frustration
4OSArit7O2Jaj4mgf3YN7A,move on
4OSArit7O2Jaj4mgf3YN7A,rock star
6EHS9kZ9PpeXaJ4wZO3FSX,Song
6EHS9kZ9PpeXaJ4wZO3FSX,Embracing fear
6EHS9kZ9PpeXaJ4wZO3FSX,Consciousness
6EHS9kZ9PpeXaJ4wZO3FSX,Being lost
6EHS9kZ9PpeXaJ4wZO3FSX,Different dimensions
6EHS9kZ9PpeXaJ4wZO3FSX,Meaning
6EHS9kZ9PpeXaJ4wZO3FSX,Returning
6EHS9kZ9PpeXaJ4wZO3FSX,Struggle
6EHS9kZ9PpeXaJ4wZO3FSX,Motivation
6EHS9kZ9PpeXaJ4wZO3FSX,Negative thoughts
6EHS9kZ9PpeXaJ4wZO3FSX,Courage
6EHS9kZ9PpeXaJ4wZO3FSX,Mindset
6EHS9kZ9PpeXaJ4wZO3FSX,Love
6EHS9kZ9PpeXaJ4wZO3FSX,Intermission
6EHS9kZ9PpeXaJ4wZO3FSX,Difficulties
6EHS9kZ9PpeXaJ4wZO3FSX,Challenges
6EHS9kZ9PpeXaJ4wZO3FSX,Human existence
6EHS9kZ9PpeXaJ4wZO3FSX,Earth Creature
6EHS9kZ9PpeXaJ4wZO3FSX,Thoughts
6EHS9kZ9PpeXaJ4wZO3FSX,Capitalism
6EHS9kZ9PpeXaJ4wZO3FSX,System
6EHS9kZ9PpeXaJ4wZO3FSX,Mysterious potion
6EHS9kZ9PpeXaJ4wZO3FSX,Clouds
6EHS9kZ9PpeXaJ4wZO3FSX,Starship
6EHS9kZ9PpeXaJ4wZO3FSX,Galaxy
4aKWmkWAKviFlyvHYPTNQY,close
4aKWmkWAKviFlyvHYPTNQY,talk
4aKWmkWAKviFlyvHYPTNQY,help
4aKWmkWAKviFlyvHYPTNQY,John
4aKWmkWAKviFlyvHYPTNQY,love
4aKWmkWAKviFlyvHYPTNQY,commitment
4aKWmkWAKviFlyvHYPTNQY,relationship
4aKWmkWAKviFlyvHYPTNQY,joy
4aKWmkWAKviFlyvHYPTNQY,happiness
4aKWmkWAKviFlyvHYPTNQY,Indiana
4aKWmkWAKviFlyvHYPTNQY,hometown
4aKWmkWAKviFlyvHYPTNQY,fame
4aKWmkWAKviFlyvHYPTNQY,entertainment industry
4aKWmkWAKviFlyvHYPTNQY,melancholic
4aKWmkWAKviFlyvHYPTNQY,abstract
4aKWmkWAKviFlyvHYPTNQY,poetic
4aKWmkWAKviFlyvHYPTNQY,mortality
